"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes","KC","580.8","379.6","4,772.6","35.9","13.3","52.5","220.2","1.9","2.0","337.3"
"Deshaun Watson","HOU","508.4","335.8","4,037.9","26.2","11.7","95.1","551.7","4.3","2.7","318.8"
"Aaron Rodgers","GB","596.9","379.0","4,322.6","29.8","7.6","46.2","260.9","2.2","2.1","311.8"
"Andrew Luck","IND","605.5","398.1","4,497.9","33.9","14.5","50.4","213.5","1.4","2.6","311.0"
"Matt Ryan","ATL","585.2","394.7","4,631.2","30.5","10.6","48.1","132.8","1.5","2.0","303.8"
"Cam Newton","CAR","514.1","336.9","3,779.3","25.1","13.8","114.7","549.6","4.5","1.7","302.2"
"Drew Brees","NO","538.2","387.3","4,341.1","30.5","8.8","24.8","49.1","1.9","1.6","291.5"
"Jameis Winston","TB","565.9","360.4","4,460.3","28.0","16.6","57.8","281.0","1.6","2.8","289.8"
"Ben Roethlisberger","PIT","627.1","412.2","4,710.4","29.5","15.3","22.5","75.2","1.4","1.8","287.9"
"Russell Wilson","SEA","456.4","294.9","3,592.3","28.4","9.5","73.9","394.6","2.4","2.1","287.8"
"Jared Goff","LAR","556.6","355.7","4,429.3","30.0","11.6","31.1","102.7","1.2","2.2","286.9"
"Dak Prescott","DAL","522.6","344.8","3,867.0","23.8","10.8","68.0","311.8","5.3","2.3","286.7"
"Baker Mayfield","CLE","570.2","366.2","4,367.1","30.4","14.4","44.5","174.1","0.9","2.1","285.9"
"Lamar Jackson","BAL","452.1","267.9","3,083.2","16.6","11.0","168.2","877.5","6.1","4.6","283.0"
"Tom Brady","NE","587.8","385.0","4,399.6","29.3","10.8","20.8","38.5","1.0","1.5","278.9"
"Carson Wentz","PHI","558.7","370.2","4,189.4","28.9","12.2","51.6","188.2","1.0","2.6","278.0"
"Kirk Cousins","MIN","577.7","397.6","4,179.6","27.8","12.1","38.4","135.0","1.9","2.4","274.1"
"Mitch Trubisky","CHI","509.7","331.6","3,751.2","25.1","13.2","66.1","378.9","2.4","2.5","271.8"
"Philip Rivers","LAC","547.8","361.4","4,390.0","29.8","12.3","14.3","26.2","0.2","1.4","271.4"
"Josh Allen","BUF","482.9","273.6","3,227.9","17.4","14.5","103.9","665.2","6.2","2.9","267.7"
"Kyler Murray","ARI","524.8","322.6","3,610.4","21.3","14.3","106.7","514.2","3.0","3.1","264.0"
"Jimmy Garoppolo","SF","524.8","337.0","4,098.1","25.3","14.2","38.9","124.2","1.3","2.2","252.6"
"Matthew Stafford","DET","558.7","368.7","3,976.0","24.4","11.6","27.7","74.9","0.7","1.6","241.9"
