"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Saquon Barkley","NYG","275.0","1,279.8","9.8","86.4","689.6","3.4","1.6","272.9"
"Ezekiel Elliott","DAL","315.3","1,393.9","9.6","70.3","536.5","2.6","2.3","261.6"
"Christian McCaffrey","CAR","219.2","1,063.0","6.5","95.7","811.2","5.1","1.8","253.6"
"Alvin Kamara","NO","194.7","905.4","9.5","87.0","760.8","4.7","1.4","249.1"
"Melvin Gordon","LAC","234.8","1,046.7","10.0","56.4","506.3","3.1","1.4","231.0"
"Le'Veon Bell","NYJ","253.8","1,069.3","7.4","61.9","507.5","2.5","1.7","213.8"
"David Johnson","ARI","246.6","992.7","7.6","57.2","547.1","3.1","2.5","213.1"
"James Conner","PIT","234.2","1,035.7","9.5","55.0","445.7","1.6","1.9","211.0"
"Todd Gurley","LAR","209.4","976.6","9.5","43.3","397.4","2.4","1.7","205.2"
"Joe Mixon","CIN","253.3","1,173.2","8.1","43.2","317.6","1.2","1.6","201.8"
"Dalvin Cook","MIN","237.3","1,098.2","6.1","57.9","444.6","2.2","2.7","198.6"
"Derrick Henry","TEN","256.1","1,199.4","10.3","16.5","124.9","0.3","1.3","193.0"
"Nick Chubb","CLE","228.4","1,082.2","8.8","25.5","194.2","1.4","0.9","186.6"
"Damien Williams","KC","177.2","825.8","7.3","49.3","395.0","3.6","1.4","184.6"
"Leonard Fournette","JAC","253.2","962.5","7.5","41.8","348.1","1.5","1.3","182.7"
"Chris Carson","SEA","238.1","1,109.7","8.2","24.6","196.7","0.9","2.1","180.9"
"Aaron Jones","GB","185.6","931.6","8.0","37.6","289.0","1.4","1.3","175.7"
"Marlon Mack","IND","226.4","1,037.2","8.1","26.0","190.8","1.0","1.3","175.0"
"Phillip Lindsay","DEN","202.5","980.0","7.1","37.6","277.5","1.0","0.9","172.8"
"Kerryon Johnson","DET","211.7","988.8","6.3","43.5","309.2","1.3","1.9","171.7"
"Josh Jacobs","OAK","214.3","930.8","6.4","40.4","336.6","1.5","1.5","171.3"
