"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","97.6","1,237.7","9.2","0.6","178.0"
"George Kittle","SF","85.5","1,158.7","6.3","0.4","153.0"
"Zach Ertz","PHI","92.5","986.5","7.0","0.5","139.5"
"O.J. Howard","TB","56.9","818.4","6.3","0.5","118.7"
"Evan Engram","NYG","69.2","824.8","5.3","0.5","113.4"
"Jared Cook","NO","60.5","754.4","5.9","0.4","109.7"
"Hunter Henry","LAC","54.1","691.7","5.8","0.5","103.3"
"Eric Ebron","IND","51.8","585.3","6.7","0.4","97.9"
"David Njoku","CLE","54.0","634.2","4.8","0.4","91.1"
"Vance McDonald","PIT","56.6","640.1","4.4","0.5","89.5"
"Austin Hooper","ATL","60.8","592.4","4.5","0.4","85.5"
"Delanie Walker","TEN","55.7","614.0","4.1","0.5","85.1"
"Jordan Reed","WAS","61.5","623.3","3.8","0.5","83.9"
"Greg Olsen","CAR","48.5","561.4","4.6","0.1","83.3"
"Chris Herndon IV","NYJ","45.2","547.6","4.6","0.1","81.9"
"Kyle Rudolph","MIN","54.5","532.1","4.7","0.4","80.5"
"Jimmy Graham","GB","52.3","564.7","4.1","0.4","80.4"
"Trey Burton","CHI","47.4","517.6","4.4","0.5","77.3"
"Jack Doyle","IND","55.8","521.8","4.4","0.8","76.6"
"Mark Andrews","BAL","40.5","536.6","3.5","0.1","74.3"
"Noah Fant","DEN","43.7","497.2","3.4","0.4","69.5"
"T.J. Hockenson","DET","44.7","486.2","3.7","0.8","69.4"
"Tyler Eifert","CIN","40.6","452.4","3.5","0.1","66.0"
"Jason Witten","DAL","45.3","443.3","3.4","0.4","63.8"
"Dallas Goedert","PHI","35.2","365.1","4.1","0.1","60.9"
"Will Dissly","SEA","24.7","328.8","3.0","0.1","50.7"
"Darren Waller","OAK","31.2","342.5","2.8","0.6","49.6"
"Cameron Brate","TB","28.0","300.1","3.2","0.4","48.4"
"Mike Gesicki","MIA","36.6","369.0","2.1","0.8","47.9"
"Benjamin Watson","NE","29.0","334.8","2.3","0.1","47.2"
"Vernon Davis","WAS","27.3","345.0","2.1","0.1","47.0"
