"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Julio Jones","ATL","106.3","1,561.8","8.4","1.6","10.8","0.0","0.9","206.0"
"DeAndre Hopkins","HOU","104.1","1,461.7","10.1","0.4","-0.4","0.0","0.9","205.1"
"Davante Adams","GB","106.4","1,363.1","11.2","0.0","0.0","0.0","0.5","202.9"
"JuJu Smith-Schuster","PIT","103.8","1,367.8","9.0","0.4","3.3","0.0","0.5","190.3"
"Antonio Brown","OAK","99.8","1,278.2","9.6","0.0","0.0","0.0","0.5","184.5"
"Michael Thomas","NO","113.6","1,346.4","8.4","0.0","0.0","0.0","0.6","183.9"
"Mike Evans","TB","86.9","1,393.7","7.5","0.0","0.0","0.0","0.5","183.4"
"Odell Beckham Jr.","CLE","89.4","1,270.1","9.1","3.8","15.7","0.0","0.5","182.5"
"Keenan Allen","LAC","98.6","1,279.3","6.7","4.0","29.3","0.0","0.6","170.1"
"T.Y. Hilton","IND","80.7","1,286.9","6.6","0.0","0.0","0.0","0.5","167.3"
"Julian Edelman","NE","94.5","1,150.0","6.7","8.7","78.5","0.2","0.5","163.2"
"Adam Thielen","MIN","92.8","1,204.8","6.9","3.5","21.0","0.0","0.6","163.1"
"A.J. Green","CIN","78.8","1,149.2","8.0","0.0","0.0","0.0","0.9","161.4"
"Brandin Cooks","LAR","74.5","1,129.4","6.2","7.5","46.1","0.4","0.5","156.1"
"Amari Cooper","DAL","80.6","1,095.2","7.5","1.2","9.0","0.0","1.0","153.4"
"Robert Woods","LAR","79.0","1,078.0","5.6","11.9","85.1","0.7","0.5","153.4"
"Stefon Diggs","MIN","90.5","1,032.9","7.5","7.1","35.7","0.0","0.5","150.9"
"Tyler Lockett","SEA","62.4","992.5","6.6","8.7","54.0","0.1","0.5","144.0"
"Kenny Golladay","DET","73.8","1,072.1","6.0","0.9","5.9","0.0","0.5","143.0"
"Cooper Kupp","LAR","71.5","954.1","7.5","3.6","23.0","0.0","0.5","141.9"
"Chris Godwin","TB","73.6","1,015.2","6.4","0.0","0.0","0.0","0.6","138.9"
"Sammy Watkins","KC","69.7","978.9","6.6","2.7","20.6","0.0","0.6","138.8"
"Alshon Jeffery","PHI","68.4","933.0","6.8","0.0","0.0","0.0","0.5","132.9"
"Mike Williams","LAC","55.8","821.4","7.4","4.0","19.8","0.3","0.4","129.6"
"Calvin Ridley","ATL","63.8","803.5","7.1","5.5","28.9","0.0","0.5","125.1"
"Robby Anderson","NYJ","58.3","855.9","6.6","3.1","11.4","0.0","0.9","124.5"
"Tyler Boyd","CIN","70.8","919.5","5.5","1.0","3.5","0.0","0.4","124.3"
"Allen Robinson","CHI","63.9","888.6","5.6","0.5","2.9","0.1","0.5","122.0"
"D.J. Moore","CAR","62.4","857.6","4.3","13.1","127.6","0.1","1.6","121.6"
"Jarvis Landry","CLE","73.3","866.4","4.9","3.2","29.3","0.3","0.5","120.2"
"Marvin Jones","DET","53.4","798.7","6.1","0.0","0.0","0.0","0.5","115.7"
"Tyreek Hill","KC","47.1","748.2","5.2","7.1","52.1","0.5","0.4","113.3"
"Dante Pettis","SF","55.8","794.0","5.6","0.7","0.0","0.0","0.4","112.0"
"Will Fuller","HOU","54.0","783.7","5.7","0.4","1.8","0.0","0.4","111.9"
"Corey Davis","TEN","60.8","797.7","4.3","4.0","32.3","0.0","0.5","107.9"
"Sterling Shepard","NYG","61.9","800.9","4.5","2.4","15.1","0.0","0.4","107.8"
"Dede Westbrook","JAC","65.2","749.8","4.9","4.7","40.0","0.0","0.9","106.9"
"Golden Tate","NYG","71.3","800.4","4.1","3.0","23.2","0.1","0.5","106.1"
"Christian Kirk","ARI","58.8","780.6","4.2","2.2","18.0","0.0","0.5","104.2"
"Larry Fitzgerald","ARI","66.6","734.5","5.3","0.0","0.0","0.0","0.4","104.1"
"Courtland Sutton","DEN","48.3","737.4","4.7","0.6","1.0","0.0","0.1","102.0"
"DeSean Jackson","PHI","43.7","718.0","4.1","4.0","28.0","0.4","0.4","100.7"
"Mohamed Sanu","ATL","61.7","750.5","3.8","3.6","24.3","0.0","0.5","99.6"
"Kenny Stills","MIA","47.5","723.2","4.7","0.0","0.0","0.0","0.5","99.6"
"Curtis Samuel","CAR","46.9","584.4","4.0","10.5","94.0","1.1","0.4","97.7"
"Tyrell Williams","OAK","50.7","709.8","3.9","0.5","2.9","0.0","0.5","93.4"
"Marqise Lee","JAC","57.4","711.4","3.5","2.3","17.0","0.0","0.4","93.4"
"Emmanuel Sanders","DEN","57.0","693.6","3.4","1.6","14.5","0.3","0.4","92.0"
"Michael Gallup","DAL","44.7","672.1","4.0","0.0","-0.1","0.0","0.1","91.3"
"Geronimo Allison","GB","49.5","676.7","4.0","0.0","0.0","0.0","0.5","90.8"
"Ted Ginn","NO","43.3","616.3","3.7","8.6","56.9","0.3","0.4","90.3"
"Donte Moncrief","PIT","47.6","632.0","4.4","0.0","0.0","0.0","0.4","88.6"
"D.K. Metcalf","SEA","42.4","589.6","5.0","0.5","3.0","0.0","0.6","88.3"
"Marquise Goodwin","SF","39.3","617.7","4.1","3.2","18.6","0.0","0.1","88.1"
"Robert Foster","BUF","39.2","635.7","4.0","0.0","0.0","0.0","0.1","87.5"
"Albert Wilson","MIA","47.6","594.0","4.0","7.1","29.1","0.1","0.4","86.0"
"N'Keal Harry","NE","45.5","615.8","4.1","1.1","6.3","0.0","0.8","85.2"
"James Washington","PIT","44.6","633.9","3.8","0.0","0.0","0.0","0.4","85.0"
"John Brown","BUF","39.3","589.0","4.3","0.6","1.8","0.0","0.1","84.7"
"Devante Parker","MIA","48.7","637.2","3.4","0.0","0.0","0.0","0.1","84.0"
"Devin Funchess","IND","43.7","555.5","4.8","0.0","0.0","0.0","0.4","83.6"
"Jamison Crowder","NYJ","52.5","622.8","3.3","2.9","18.4","0.0","0.5","82.9"
"Marquise Brown","BAL","39.8","578.4","3.5","5.4","35.5","0.0","0.8","81.0"
"Mecole Hardman","KC","37.3","538.1","3.7","5.1","32.5","0.3","0.4","80.7"
"Keke Coutee","HOU","53.8","592.2","3.4","4.4","15.8","0.0","0.5","80.5"
"Anthony Miller","CHI","38.6","505.9","4.6","3.2","14.6","0.0","0.1","79.9"
"Marquez Valdes-Scantling","GB","41.5","587.6","3.4","1.6","13.9","0.0","0.4","79.9"
"DaeSean Hamilton","DEN","53.3","582.4","3.7","0.0","0.0","0.0","0.5","79.7"
"Nelson Agholor","PHI","45.4","557.8","3.6","3.1","23.8","0.1","0.4","78.9"
