,Player,Position,PPG_Over_Position_Baseline,Projected Games Missed,PPG,PPG_With_Injury
0,Patrick Mahomes,qb,2.139640625000002,1.6,21.08125,18.973125
1,Matt Ryan,qb,1.9404062500000023,0.18,18.9875,18.773890625
2,Drew Brees,qb,1.214464843750001,0.15,18.21875,18.04794921875
3,Dak Prescott,qb,0.8948789062500033,0.17,17.91875,17.72836328125
4,Russell Wilson,qb,0.8055078125000037,0.31,17.9875,17.6389921875
5,Jared Goff,qb,0.7167265624999999,0.34,17.93125,17.550210937499997
6,Lamar Jackson,qb,0.4228828125000028,0.39,17.6875,17.2563671875
7,Ben Roethlisberger,qb,0.3280546874999999,0.74,17.99375,17.161539062499997
8,Jameis Winston,qb,0.23754687500000315,0.92,18.1125,17.07103125
9,Tom Brady,qb,0.21645703125000182,0.35,17.43125,17.04994140625
10,Kirk Cousins,qb,0.1478671875000046,0.14,17.13125,16.981351562500002
11,Aaron Rodgers,qb,0.05974218750000304,2.13,19.4875,16.8932265625
12,Cam Newton,qb,0.0,1.74,18.8875,16.833484374999998
13,Philip Rivers,qb,-0.019406249999999403,0.14,16.9625,16.814078124999998
14,Andrew Luck,qb,-0.6639140624999982,2.69,19.4375,16.1695703125
15,Mitch Trubisky,qb,-0.8533681066176442,0.9488235294117648,16.9875,15.980116268382353
16,Carson Wentz,qb,-0.9244999999999965,1.35,17.375,15.908984375000001
17,Baker Mayfield,qb,-1.2318320312499988,2.03,17.86875,15.601652343749999
18,Kyler Murray,qb,-1.31195863970588,0.9488235294117648,16.5,15.521525735294118
19,Jimmy Garoppolo,qb,-1.7268203124999975,0.69,15.7875,15.1066640625
20,Matthew Stafford,qb,-1.9793124999999971,0.28,15.11875,14.854171875
21,Derek Carr,qb,-2.049402343749996,0.25,15.01875,14.784082031250001
22,Deshaun Watson,qb,-2.2010624999999973,4.25,19.925,14.632421875
23,Andy Dalton,qb,-2.574117187499997,0.17,14.4125,14.2593671875
24,Sam Darnold,qb,-3.091773437499997,0.53,14.2125,13.7417109375
25,Nick Foles,qb,-3.4128515624999967,0.51,13.8625,13.420632812500001
26,Marcus Mariota,qb,-4.074328124999997,1.47,14.05,12.75915625
27,Eli Manning,qb,-4.217484374999998,0.23,12.8,12.616
28,Josh Allen,qb,-5.801316406249997,5.45,16.73125,11.03216796875
29,Joe Flacco,qb,-5.868445312499999,0.5,11.31875,10.965039062499999
30,Josh Rosen,qb,-9.167664062499998,0.25,7.7875,7.665820312499999
31,Dwayne Haskins,qb,-9.178550091911763,0.9488235294117648,8.1375,7.6549342830882345
32,Ryan Fitzpatrick,qb,-11.768812499999997,0.36,5.18125,5.064671875
33,Case Keenum,qb,-11.970046874999998,0.2,4.925,4.8634375
34,Drew Lock,qb,-14.02314751838235,0.9488235294117648,2.9875,2.810336856617647
35,Daniel Jones,qb,-15.057915900735292,0.9488235294117648,1.8875,1.7755684742647058
36,Taysom Hill,qb,-15.340125459558822,0.9488235294117648,1.5875,1.4933589154411764
37,Nate Sudfeld,qb,-15.663490579044115,0.9488235294117648,1.24375,1.1699937959558822
38,C.J. Beathard,qb,-15.798715992647056,0.9488235294117648,1.1,1.0347683823529412
