Player,Probability of injury in the season,Projected Games Missed,Probability of Injury per game,Durability,Projected Points,,,
Robert Woods,60.40%,3,5.60%,6,151,,,
Julio Jones,60.30%,3,5.60%,5,206,,,
Paul Richardson,60.30%,1,5.60%,1,84,,,
Danny Amendola,59.50%,1.5,5.50%,3,52,,,
Sammy Watkins,59.40%,2.5,5.50%,3,132,,,
Willie Snead,59.40%,3,5.50%,9,68,,,
DeSean Jackson,59.30%,2.5,5.50%,5,94,,,
Randall Cobb,59.30%,2.25,5.50%,6,76,,,
John Ross,58.90%,3,5.40%,0,41,,,
Emmanuel Sanders,58%,2.75,5.30%,6,75,,,
Will Fuller,58%,6.82,5.30%,2,123,,,
Marqise Lee,57.60%,3,5.20%,3,61,,,
Corey Davis,57.60%,4.25,5.20%,1,122,,,
Zay Jones,57.60%,3.25,5.20%,16,36,,,
Mohamed Sanu,57.50%,1.75,5.20%,10,110,,,
Tavon Austin,57.50%,3,5.20%,8,12,,,
Cody Latimer,57.50%,2,5.20%,4,8,,,
Chris Hogan,57.50%,2,5.20%,7,30,,,
Allen Hurns,57.50%,2.5,5.20%,4,27,,,
DeVante Parker,57.50%,3.42,5.20%,2,84,,,
Sterling Shepard,57.50%,2.75,5.20%,3,112,,,
Marquise Goodwin,57.50%,1,5.20%,2,68,,,
JuJu Smith-Schuster,57.50%,2.75,5.20%,10,184,,,
Taylor Gabriel,57%,2,5.10%,8,62,,,
Julian Edelman,56.10%,3.88,5%,3,144,,,
Donte Moncrief,56.10%,2.38,5%,5,91,,,
Jordan Matthews,55.20%,3.25,4.90%,3,9,,,
Corey Coleman,54.60%,3.75,4.80%,1,45,,,
Marvin Jones,54.30%,1.5,4.80%,3,124,,,
Keke Coutee,54.30%,7.25,4.80%,0,94,,,
Ted Ginn Jr.,54%,1.25,4.70%,14,84,,,
Anthony Miller,54%,2,4.70%,0,94,,,
Jamison Crowder,53.70%,1.75,4.70%,10,95,,,
Terrelle Pryor,53.60%,2.75,4.70%,4,17,,,
Odell Beckham Jr.,53.20%,7.28,4.60%,2,198,,,
Allen Robinson,52.80%,1,4.60%,2,124,,,
Kenny Golladay,52.80%,3.5,4.60%,2,143,,,
James Washington,52.80%,2,4.60%,0,75,,,
Davante Adams,52.20%,1,4.50%,8,182,,,
John Brown,52.20%,1.5,4.50%,4,100,,,
Amari Cooper,52.20%,1.5,4.50%,9,166,,,
Curtis Samuel,52.10%,1.25,4.50%,1,99,,,
Josh Doctson,51.70%,1,4.40%,1,82,,,
Laquon Treadwell,51.20%,1.5,4.40%,2,38,,,
Keenan Allen,50.40%,2.52,4.30%,2,160,,,
Stefon Diggs,50.20%,1.13,4.30%,8,153,,,
Phillip Dorsett,49.90%,1,4.20%,6,62,,,
Alshon Jeffery,49.70%,0.25,4.20%,5,132,,,
Travis Benjamin,49.40%,1.17,4.20%,5,68,,,
Kevin White,48.20%,1,4%,0,7,,,
Dante Pettis,47.70%,0.5,4%,0,129,,,
Breshad Perriman,47.40%,0.75,3.90%,1,60,,,
Nelson Agholor,47.10%,1.54,3.90%,13,73,,,
DaeSean Hamilton,47%,4.78,3.90%,0,93,,,
Rishard Matthews,47%,0.81,3.90%,8,34,,,
Equanimeous St. Brown,46.60%,0.5,3.80%,0,39,,,
Antonio Brown,46%,1.64,3.80%,20,173,,,
Cameron Meredith,44.50%,1.21,3.60%,1,20,,,
Devin Funchess,44.30%,0.41,3.60%,12,107,,,
Kenny Stills,44.20%,0.69,3.60%,16,104,,,
Courtland Sutton,44.10%,0.45,3.60%,0,110,,,
T.Y. Hilton,43.90%,0.67,3.50%,33,165,,,
Michael Gallup,43.90%,0.78,3.50%,0,91,,,
Larry Fitzgerald,43.80%,0.85,3.50%,17,101,,,
Albert Wilson,43.20%,0.7,3.50%,20,93,,,
Tyler Lockett,42.60%,2.21,3.40%,5,136,,,
Cole Beasley,42.20%,1.77,3.40%,127,70,,,
Cooper Kupp,42.20%,0.58,3.40%,127,136,,,
Tyler Boyd,41.90%,1.85,3.30%,6,136,,,
Torrey Smith,41.80%,0.55,3.30%,17,28,,,
Michael Thomas,41.50%,0.84,3.30%,33,178,,,
Mike Williams,41.50%,0.5,3.30%,3,122,,,
Tajae Sharpe,41.40%,0.62,3.30%,1,13,,,
DeAndre Hopkins,41.10%,1.58,3.30%,68,190,,,
Mike Evans,41.10%,0.58,3.30%,27,188,,,
A.J. Green,40.90%,1.01,3.20%,6,164,,,
Cordarrelle Patterson,40.70%,0.42,3.20%,127,42,,,
Jarvis Landry,40.60%,0.71,3.20%,127,123,,,
Brandin Cooks,40.20%,0.47,3.20%,9,148,,,
Adam Thielen,40.20%,0.39,3.20%,100,170,,,
Quincy Enunwa,39.90%,0.6,3.10%,2,85,,,
Golden Tate,39.80%,0.32,3.10%,33,101,,,
J.J. Nelson,39.70%,0.86,3.10%,7,41,,,
Tyrell Williams,39.40%,0.36,3.10%,127,117,,,
Tyreek Hill,38.80%,0.45,3%,127,130,,,
Ryan Grant,38.50%,0.45,3%,30,48,,,
Adam Humphries,38.10%,0.27,3%,42,78,,,
Robby Anderson,37.50%,0.4,2.90%,127,130,,,
Jermaine Kearse,37.30%,0.17,2.90%,75,21,,,
Jaron Brown,35.90%,0.26,2.70%,6,24,,,
Calvin Ridley,35.10%,0.19,2.70%,5,124,,,
Demaryius Thomas,33.90%,0.65,2.60%,4,40,,,
Chris Conley,33.10%,0.84,2.50%,3,58,,,
Christian Kirk,31.30%,0.12,2.30%,5,113,,,
Chris Godwin,29.20%,0.13,2.10%,127,141,,,
Taywan Taylor,29.20%,0.13,2.10%,127,29,,,
D.J. Moore,27.80%,0.11,2%,5,140,,,
D.J. Chark,25.40%,0.1,1.80%,5,64,,,
Tre'Quan Smith,25.40%,0.11,1.80%,5,61,,,
Eli Rogers,24.50%,1.22,1.70%,7,8,,,
Dontrelle Inman,21.20%,1.1,1.50%,7,18,,,
